elapsed_time,Ta,MRT,RH,Velocity,Solar,Clo,Met,Qmet,Qconv,Qrad,Qsolar,Qresp,Qsweat,Qmet-Head,Qconv-Head,Qrad-Head,Qsolar-Head,Qresp-Head,Qsweat-Head,Qblood-Head,Qmet-Chest,Qconv-Chest,Qrad-Chest,Qsolar-Chest,Qresp-Chest,Qsweat-Chest,Qblood-Chest,Qmet-Back,Qconv-Back,Qrad-Back,Qsolar-Back,Qresp-Back,Qsweat-Back,Qblood-Back,Qmet-Pelvis,Qconv-Pelvis,Qrad-Pelvis,Qsolar-Pelvis,Qresp-Pelvis,Qsweat-Pelvis,Qblood-Pelvis,Qmet-Left Upper Arm,Qconv-Left Upper Arm,Qrad-Left Upper Arm,Qsolar-Left Upper Arm,Qresp-Left Upper Arm,Qsweat-Left Upper Arm,Qblood-Left Upper Arm,Qmet-Right Upper Arm,Qconv-Right Upper Arm,Qrad-Right Upper Arm,Qsolar-Right Upper Arm,Qresp-Right Upper Arm,Qsweat-Right Upper Arm,Qblood-Right Upper Arm,Qmet-Left Lower Arm,Qconv-Left Lower Arm,Qrad-Left Lower Arm,Qsolar-Left Lower Arm,Qresp-Left Lower Arm,Qsweat-Left Lower Arm,Qblood-Left Lower Arm,Qmet-Right Lower Arm,Qconv-Right Lower Arm,Qrad-Right Lower Arm,Qsolar-Right Lower Arm,Qresp-Right Lower Arm,Qsweat-Right Lower Arm,Qblood-Right Lower Arm,Qmet-Left Hand,Qconv-Left Hand,Qrad-Left Hand,Qsolar-Left Hand,Qresp-Left Hand,Qsweat-Left Hand,Qblood-Left Hand,Qmet-Right Hand,Qconv-Right Hand,Qrad-Right Hand,Qsolar-Right Hand,Qresp-Right Hand,Qsweat-Right Hand,Qblood-Right Hand,Qmet-Left Thigh,Qconv-Left Thigh,Qrad-Left Thigh,Qsolar-Left Thigh,Qresp-Left Thigh,Qsweat-Left Thigh,Qblood-Left Thigh,Qmet-Right Thigh,Qconv-Right Thigh,Qrad-Right Thigh,Qsolar-Right Thigh,Qresp-Right Thigh,Qsweat-Right Thigh,Qblood-Right Thigh,Qmet-Left Lower Leg,Qconv-Left Lower Leg,Qrad-Left Lower Leg,Qsolar-Left Lower Leg,Qresp-Left Lower Leg,Qsweat-Left Lower Leg,Qblood-Left Lower Leg,Qmet-Right Lower Leg,Qconv-Right Lower Leg,Qrad-Right Lower Leg,Qsolar-Right Lower Leg,Qresp-Right Lower Leg,Qsweat-Right Lower Leg,Qblood-Right Lower Leg,Qmet-Left Foot,Qconv-Left Foot,Qrad-Left Foot,Qsolar-Left Foot,Qresp-Left Foot,Qsweat-Left Foot,Qblood-Left Foot,Qmet-Right Foot,Qconv-Right Foot,Qrad-Right Foot,Qsolar-Right Foot,Qresp-Right Foot,Qsweat-Right Foot,Qblood-Right Foot,
59,26.000000000000004,26.000000000000004,0.5,0.10000000000000003,0.0,0.0,1.0,106.07876073126181,-48.95619223243892,-63.70811316531115,0.0,-9.300264807265277,-53.0853129683994,16.888739676047514,-4.0202553123981986,-4.980397455844186,0.0,-0.0,-4.307131109488914,-5.08147908085893,15.372038280061009,-4.122177941085987,-6.298216312110873,0.0,-4.650132403632639,-6.144712882871442,-1.0877667408557121,12.785965163903814,-3.3675429190001824,-5.936792687853361,0.0,-4.650132403632639,-5.269174839400399,-1.9926460083312554,36.99376445314537,-3.965417364758124,-6.491468662576098,0.0,-0.0,-7.665214045748618,-20.600953184146118,1.8472843896439923,-2.738659379221836,-3.6920807873712587,0.0,-0.0,-2.8178458584736954,4.780930725554529,1.8472843896439923,-2.738659379221836,-3.6920807873712587,0.0,-0.0,-2.8178458584736954,4.780930725554529,0.6870163868813414,-1.8594539480289287,-2.2429207175771135,0.0,-0.0,-1.6961794199546567,3.099582023868784,0.6870163868813414,-1.8594539480289287,-2.2429207175771135,0.0,-0.0,-1.6961794199546567,3.099582023868784,0.25422203000775967,-1.649811224943688,-1.680481874282617,0.0,-0.0,-1.2092974232178135,3.927399716456395,0.25422203000775967,-1.649811224943688,-1.680481874282617,0.0,-0.0,-1.2092974232178135,3.927399716456395,6.116783297457482,-4.939585299484803,-6.1192874946552065,0.0,-0.0,-4.628253778721388,6.972851732623506,6.116783297457482,-4.939585299484803,-6.1192874946552065,0.0,-0.0,-4.628253778721388,6.972851732623506,2.69200199393029,-3.770014152435239,-4.320112748244383,0.0,-0.0,-3.140889725067182,4.975025164012547,2.69200199393029,-3.770014152435239,-4.320112748244383,0.0,-0.0,-3.140889725067182,4.975025164012547,0.4218184811312029,-1.7828753434837215,-1.945735401332736,0.0,-0.0,-1.3570738400102775,3.8934719943189497,0.4218184811312029,-1.7828753434837215,-1.945735401332736,0.0,-0.0,-1.3570738400102775,3.8934719943189497,
119,26.000000000000004,26.000000000000004,0.5,0.10000000000000003,0.0,0.0,1.0,106.07876073126181,-48.21325858792945,-62.75815005465138,0.0,-9.277961072682363,-44.14793413152567,16.888739676047514,-3.9923533498585106,-4.945831774700213,0.0,-0.0,-3.591863136396877,-9.33238344996833,15.372038280061009,-4.07329949333444,-6.223535635696807,0.0,-4.638980536341181,-4.85985164053319,-6.113571296957605,12.785965163903814,-3.3242521246742847,-5.860473401837651,0.0,-4.638980536341181,-4.133269882890591,-5.118006728294766,36.99376445314537,-3.9266177350393696,-6.4279528816958145,0.0,-0.0,-5.862496840619802,-25.02375984514647,1.8472843896439923,-2.681028966551811,-3.6143872483347486,0.0,-0.0,-2.3551022103598322,4.49067097208385,1.8472843896439923,-2.681028966551811,-3.6143872483347486,0.0,-0.0,-2.3551022103598322,4.49067097208385,0.6870163868813414,-1.8129225198190841,-2.1867933235854826,0.0,-0.0,-1.4553853533873484,3.0081407286051998,0.6870163868813414,-1.8129225198190841,-2.1867933235854826,0.0,-0.0,-1.4553853533873484,3.0081407286051998,0.25422203000775967,-1.6333678950164554,-1.6637328562872362,0.0,-0.0,-1.0681235329782868,3.272453409385998,0.25422203000775967,-1.6333678950164554,-1.6637328562872362,0.0,-0.0,-1.0681235329782868,3.272453409385998,6.116783297457482,-4.889268589717928,-6.056953838248716,0.0,-0.0,-3.9771412970243425,5.656356904281804,6.116783297457482,-4.889268589717928,-6.056953838248716,0.0,-0.0,-3.9771412970243425,5.656356904281804,2.69200199393029,-3.671700095936766,-4.207453274927468,0.0,-0.0,-2.797367753490873,4.69576435096476,2.69200199393029,-3.671700095936766,-4.207453274927468,0.0,-0.0,-2.797367753490873,4.69576435096476,0.4218184811312029,-1.760079875469379,-1.920857638976795,0.0,-0.0,-1.1971061683019188,3.3114511421191954,0.4218184811312029,-1.760079875469379,-1.920857638976795,0.0,-0.0,-1.1971061683019188,3.3114511421191954,
179,26.000000000000004,26.000000000000004,0.5,0.10000000000000003,0.0,0.0,1.0,106.07876073126181,-47.66135664299845,-62.06663369827145,0.0,-9.25764649623097,-34.78858359942752,16.888739676047514,-3.9517014857421904,-4.895471181929932,0.0,-0.0,-2.834236962939274,-10.120675182758895,15.372038280061009,-4.04215225276778,-6.175946215390874,0.0,-4.628823248115485,-3.5103430999143104,-5.129035901582331,12.785965163903814,-3.3001527493423315,-5.8179875304786455,0.0,-4.628823248115485,-2.941352670643947,-3.3952985282336354,36.99376445314537,-3.8996217868562884,-6.383759966921081,0.0,-0.0,-3.9640633699408743,-26.657687760661197,1.8472843896439923,-2.648654416813015,-3.5707420057035284,0.0,-0.0,-1.8754973783506863,4.324618225097335,1.8472843896439923,-2.648654416813015,-3.5707420057035284,0.0,-0.0,-1.8754973783506863,4.324618225097335,0.6870163868813414,-1.7857887761377897,-2.1540639107851742,0.0,-0.0,-1.2076088392790156,2.959188590739765,0.6870163868813414,-1.7857887761377897,-2.1540639107851742,0.0,-0.0,-1.2076088392790156,2.959188590739765,0.25422203000775967,-1.6104705126843497,-1.640409802476073,0.0,-0.0,-0.9178906527814475,2.8472016212964,0.25422203000775967,-1.6104705126843497,-1.640409802476073,0.0,-0.0,-0.9178906527814475,2.8472016212964,6.116783297457482,-4.848172920292614,-6.006043447851157,0.0,-0.0,-3.293822032427208,4.88655912515794,6.116783297457482,-4.848172920292614,-6.006043447851157,0.0,-0.0,-3.293822032427208,4.88655912515794,2.69200199393029,-3.6071838264772467,-4.133523165678089,0.0,-0.0,-2.4469484610966625,4.57359517639817,2.69200199393029,-3.6071838264772467,-4.133523165678089,0.0,-0.0,-2.4469484610966625,4.57359517639817,0.4218184811312029,-1.7335937317399153,-1.8919520692814369,0.0,-0.0,-1.0275263840595372,2.9136682735626938,0.4218184811312029,-1.7335937317399153,-1.8919520692814369,0.0,-0.0,-1.0275263840595372,2.9136682735626938,
239,26.000000000000004,26.000000000000004,0.5,0.10000000000000003,0.0,0.0,1.0,106.07876073126181,-47.236984816641694,-61.545432210099136,0.0,-9.2447903657234,-27.680405435365632,16.888739676047514,-3.907418430409836,-4.8406121744847805,0.0,-0.0,-2.2545862544071245,-10.245168420802312,15.372038280061009,-4.022743883468981,-6.146292447441944,0.0,-4.6223951828617,-2.487049583483711,-3.842341793074265,12.785965163903814,-3.28778053760683,-5.796176002628628,0.0,-4.6223951828617,-2.03827777437481,-1.8380842685709795,36.99376445314537,-3.8819339831475097,-6.354804673461742,0.0,-0.0,-2.5234622370973243,-27.518810184981277,1.8472843896439923,-2.6299962753867163,-3.5455883243035196,0.0,-0.0,-1.5131675828891664,4.213941790882156,1.8472843896439923,-2.6299962753867163,-3.5455883243035196,0.0,-0.0,-1.5131675828891664,4.213941790882156,0.6870163868813414,-1.7692753387452724,-2.134144981959133,0.0,-0.0,-1.0206597369178072,2.927141245620657,0.6870163868813414,-1.7692753387452724,-2.134144981959133,0.0,-0.0,-1.0206597369178072,2.927141245620657,0.25422203000775967,-1.5866058155123794,-1.6161014510559832,0.0,-0.0,-0.8018887983766415,2.5825741054532734,0.25422203000775967,-1.5866058155123794,-1.6161014510559832,0.0,-0.0,-0.8018887983766415,2.5825741054532734,6.116783297457482,-4.81335900854663,-5.962915063205296,0.0,-0.0,-2.7737549912210455,4.381692215009505,6.116783297457482,-4.81335900854663,-5.962915063205296,0.0,-0.0,-2.7737549912210455,4.381692215009505,2.69200199393029,-3.5620295810135074,-4.081780274649617,0.0,-0.0,-2.182094968780086,4.5071552834334225,2.69200199393029,-3.5620295810135074,-4.081780274649617,0.0,-0.0,-2.182094968780086,4.5071552834334225,0.4218184811312029,-1.7072879717997624,-1.8632433608674752,0.0,-0.0,-0.8969487148165848,2.6615145018556374,0.4218184811312029,-1.7072879717997624,-1.8632433608674752,0.0,-0.0,-0.8969487148165848,2.6615145018556374,
299,26.000000000000004,26.000000000000004,0.5,0.10000000000000003,0.0,0.0,1.0,106.07876073126181,-46.87669174375337,-61.10732669675308,0.0,-9.237713677937283,-25.28906321399231,16.888739676047514,-3.862093433702002,-4.78446238280521,0.0,-0.0,-2.055218134975873,-10.203945592061052,15.372038280061009,-4.007895094674106,-6.123605196881787,0.0,-4.618856838968641,-2.1498956501842317,-2.906701690859447,12.785965163903814,-3.2798395438147927,-5.7821764679492444,0.0,-4.618856838968641,-1.7419689311952853,-0.8469031334459691,36.99376445314537,-3.8682926842720824,-6.3324735904958835,0.0,-0.0,-2.0501768979367796,-28.008390383642542,1.8472843896439923,-2.6171964781063015,-3.528332477892019,0.0,-0.0,-1.3927406422884285,4.144688972869863,1.8472843896439923,-2.6171964781063015,-3.528332477892019,0.0,-0.0,-1.3927406422884285,4.144688972869863,0.6870163868813414,-1.7577739482759642,-2.120271711802644,0.0,-0.0,-0.9578384854171197,2.907928653341446,0.6870163868813414,-1.7577739482759642,-2.120271711802644,0.0,-0.0,-0.9578384854171197,2.907928653341446,0.25422203000775967,-1.5632907572920267,-1.5923529565950585,0.0,-0.0,-0.7593623172060606,2.4152499326360672,0.25422203000775967,-1.5632907572920267,-1.5923529565950585,0.0,-0.0,-0.7593623172060606,2.4152499326360672,6.116783297457482,-4.78174327546954,-5.923748665962763,0.0,-0.0,-2.59708135318854,4.054738025315433,6.116783297457482,-4.78174327546954,-5.923748665962763,0.0,-0.0,-2.59708135318854,4.054738025315433,2.69200199393029,-3.527132280974049,-4.04179096302266,0.0,-0.0,-2.0894560569225265,4.474126096165968,2.69200199393029,-3.527132280974049,-4.04179096302266,0.0,-0.0,-2.0894560569225265,4.474126096165968,0.4218184811312029,-1.6821487535273063,-1.8358077540353281,0.0,-0.0,-0.8494229448273942,2.4991233947919556,0.4218184811312029,-1.6821487535273063,-1.8358077540353281,0.0,-0.0,-0.8494229448273942,2.4991233947919556,
359,26.000000000000004,26.000000000000004,0.5,0.10000000000000003,0.0,0.0,1.0,106.07876073126181,-46.52118910463455,-60.670428296860266,0.0,-9.23416758163675,-25.177564826198825,16.888739676047514,-3.8169051291810567,-4.728481928982795,0.0,-0.0,-2.0405763651410407,-9.875572306944836,15.372038280061009,-3.9902819080980123,-6.096694262762193,0.0,-4.617083790818375,-2.143918900209063,-2.3442322376795786,12.785965163903814,-3.2693807938865627,-5.763738267875335,0.0,-4.617083790818375,-1.7384457478706932,-0.3741094749319176,36.99376445314537,-3.851919025615586,-6.305669579143891,0.0,-0.0,-2.0445497375316233,-28.009429236275505,1.8472843896439923,-2.603985713786332,-3.5105225926969834,0.0,-0.0,-1.3886624468276885,4.163139679555007,1.8472843896439923,-2.603985713786332,-3.5105225926969834,0.0,-0.0,-1.3886624468276885,4.163139679555007,0.6870163868813414,-1.7469256080506883,-2.107186167485513,0.0,-0.0,-0.9547237925745188,2.919901354287936,0.6870163868813414,-1.7469256080506883,-2.107186167485513,0.0,-0.0,-0.9547237925745188,2.919901354287936,0.25422203000775967,-1.5409967980530586,-1.5696445437532438,0.0,-0.0,-0.7527226093607593,2.3967234679265816,0.25422203000775967,-1.5409967980530586,-1.5696445437532438,0.0,-0.0,-0.7527226093607593,2.3967234679265816,6.116783297457482,-4.750742177100079,-5.885343694275646,0.0,-0.0,-2.586692585889099,4.069576974868693,6.116783297457482,-4.750742177100079,-5.885343694275646,0.0,-0.0,-2.586692585889099,4.069576974868693,2.69200199393029,-3.4956793764911187,-4.0057486331713905,0.0,-0.0,-2.0799005210573855,4.498039798787392,2.69200199393029,-3.4956793764911187,-4.0057486331713905,0.0,-0.0,-2.0799005210573855,4.498039798787392,0.4218184811312029,-1.658021450445388,-1.8094764976652433,0.0,-0.0,-0.8423350820137508,2.4641964010433655,0.4218184811312029,-1.658021450445388,-1.8094764976652433,0.0,-0.0,-0.8423350820137508,2.4641964010433655,
419,26.000000000000004,26.000000000000004,0.5,0.10000000000000003,0.0,0.0,1.0,106.07876073126181,-46.218654814404275,-60.298449561484176,0.0,-9.231473769322532,-25.08301897581257,16.888739676047514,-3.781257923246642,-4.684321237696299,0.0,-0.0,-2.0290690101296307,-9.73448396228762,15.372038280061009,-3.975170086577361,-6.073605128288294,0.0,-4.615736884661266,-2.1387987457037902,-2.309080825727754,12.785965163903814,-3.2596586185565632,-5.746598608248872,0.0,-4.615736884661266,-1.7351744552680806,-0.3765550255900427,36.99376445314537,-3.8377196250462746,-6.282424872384335,0.0,-0.0,-2.039677219734651,-28.101309101852195,1.8472843896439923,-2.592719688415624,-3.4953344768849877,0.0,-0.0,-1.385190027928798,4.184332483727667,1.8472843896439923,-2.592719688415624,-3.4953344768849877,0.0,-0.0,-1.385190027928798,4.184332483727667,0.6870163868813414,-1.7376293388005144,-2.095972770714116,0.0,-0.0,-0.9520592495818667,2.9318186491766887,0.6870163868813414,-1.7376293388005144,-2.095972770714116,0.0,-0.0,-0.9520592495818667,2.9318186491766887,0.25422203000775967,-1.5217379453431543,-1.5500276612825978,0.0,-0.0,-0.7470141573134289,2.4037836855459527,0.25422203000775967,-1.5217379453431543,-1.5500276612825978,0.0,-0.0,-0.7470141573134289,2.4037836855459527,6.116783297457482,-4.7248952389476955,-5.853323831104641,0.0,-0.0,-2.5780496129274866,4.1084552676638255,6.116783297457482,-4.7248952389476955,-5.853323831104641,0.0,-0.0,-2.5780496129274866,4.1084552676638255,2.69200199393029,-3.4687957217277208,-3.9749422714531635,0.0,-0.0,-2.071752502012952,4.520055428609654,2.69200199393029,-3.4687957217277208,-3.9749422714531635,0.0,-0.0,-2.071752502012952,4.520055428609654,0.4218184811312029,-1.6366463472540067,-1.7861488459936778,0.0,-0.0,-0.8360842227236781,2.4554637351387067,0.4218184811312029,-1.6366463472540067,-1.7861488459936778,0.0,-0.0,-0.8360842227236781,2.4554637351387067,
479,26.000000000000004,26.000000000000004,0.5,0.10000000000000003,0.0,0.0,1.0,106.07876073126181,-45.955486990079116,-59.974863893185336,0.0,-9.228828902931609,-25.001021497067036,16.888739676047514,-3.751821242180206,-4.647854307091257,0.0,-0.0,-2.0195949566333837,-9.642343393458864,15.372038280061009,-3.961866381488891,-6.053278588872181,0.0,-4.614414451465804,-2.134297166907689,-2.347429356249084,12.785965163903814,-3.25059299247918,-5.730616408793193,0.0,-4.614414451465804,-1.7321273418376646,-0.4246678481133115,36.99376445314537,-3.8252920718606145,-6.2620807157328375,0.0,-0.0,-2.035418353656593,-28.217936813554562,1.8472843896439923,-2.583035910618682,-3.482279443380449,0.0,-0.0,-1.3822092806511652,4.201745166277331,1.8472843896439923,-2.583035910618682,-3.482279443380449,0.0,-0.0,-1.3822092806511652,4.201745166277331,0.6870163868813414,-1.7296188284566207,-2.0863102890873293,0.0,-0.0,-0.9497665871273716,2.941653515022697,0.6870163868813414,-1.7296188284566207,-2.0863102890873293,0.0,-0.0,-0.9497665871273716,2.941653515022697,0.25422203000775967,-1.5045205717457937,-1.5324902098362336,0.0,-0.0,-0.7419321760975544,2.4102971836669056,0.25422203000775967,-1.5045205717457937,-1.5324902098362336,0.0,-0.0,-0.7419321760975544,2.4102971836669056,6.116783297457482,-4.702759487767884,-5.825901483444495,0.0,-0.0,-2.570661038439761,4.138368778257497,6.116783297457482,-4.702759487767884,-5.825901483444495,0.0,-0.0,-2.570661038439761,4.138368778257497,2.69200199393029,-3.4456869813171473,-3.948461637692385,0.0,-0.0,-2.0647628344055047,4.539397001150489,2.69200199393029,-3.4456869813171473,-3.948461637692385,0.0,-0.0,-2.0647628344055047,4.539397001150489,0.4218184811312029,-1.6173353711289853,-1.7650738729070423,0.0,-0.0,-0.8304599222944937,2.449373740184533,0.4218184811312029,-1.6173353711289853,-1.7650738729070423,0.0,-0.0,-0.8304599222944937,2.449373740184533,
539,26.000000000000004,26.000000000000004,0.5,0.10000000000000003,0.0,0.0,1.0,106.07876073126181,-45.72241524389409,-59.68825367671242,0.0,-9.226140824087212,-24.92858450526606,16.888739676047514,-3.7265817525928986,-4.616586967094274,0.0,-0.0,-2.0114922071498382,-9.563440020181325,15.372038280061009,-3.9498492470325144,-6.034917782196756,0.0,-4.613070412043606,-2.1302357125865337,-2.3926761551731635,12.785965163903814,-3.2420767703112134,-5.715602778169613,0.0,-4.613070412043606,-1.7292677604692244,-0.4665565616215095,36.99376445314537,-3.814234140038042,-6.243978657034784,0.0,-0.0,-2.0316332747798262,-28.335294834095066,1.8472843896439923,-2.574610543533434,-3.4709209165851838,0.0,-0.0,-1.37961888078214,4.217181850627334,1.8472843896439923,-2.574610543533434,-3.4709209165851838,0.0,-0.0,-1.37961888078214,4.217181850627334,0.6870163868813414,-1.722635939539529,-2.0778873506019275,0.0,-0.0,-0.9477705638593615,2.9502603863533925,0.6870163868813414,-1.722635939539529,-2.0778873506019275,0.0,-0.0,-0.9477705638593615,2.9502603863533925,0.25422203000775967,-1.4888149184713715,-1.5164925821971473,0.0,-0.0,-0.7373139334574863,2.4165276903801387,0.25422203000775967,-1.4888149184713715,-1.5164925821971473,0.0,-0.0,-0.7373139334574863,2.4165276903801387,6.116783297457482,-4.683442818059136,-5.801971487661356,0.0,-0.0,-2.564223527277336,4.165183740363954,6.116783297457482,-4.683442818059136,-5.801971487661356,0.0,-0.0,-2.564223527277336,4.165183740363954,2.69200199393029,-3.4256870684549594,-3.925543453561988,0.0,-0.0,-2.0587240949583983,4.557603938008834,2.69200199393029,-3.4256870684549594,-3.925543453561988,0.0,-0.0,-2.0587240949583983,4.557603938008834,0.4218184811312029,-1.5996453789012823,-1.745767955500901,0.0,-0.0,-0.825326774805595,2.445109736981177,0.4218184811312029,-1.5996453789012823,-1.745767955500901,0.0,-0.0,-0.825326774805595,2.445109736981177,
599,26.000000000000004,26.000000000000004,0.5,0.10000000000000003,0.0,0.0,1.0,106.0969221974766,-45.513124129232594,-59.43083241227559,0.0,-9.22340004987078,-24.863683400020758,16.888921290709664,-3.704336669429752,-4.589029176112913,0.0,-0.0,-2.004366394328833,-9.491511554432428,15.377849949249738,-3.938788833130136,-6.018018735077916,0.0,-4.61170002493539,-2.1265016148998477,-2.437099180508153,12.789779071808917,-3.234034298208418,-5.70142434281761,0.0,-4.61170002493539,-1.726569803840114,-0.500891408357675,36.99757836105047,-3.8042469305349265,-6.227629392492737,0.0,-0.0,-2.028218276481843,-28.45146557963089,1.8474660043061402,-2.5671848301681317,-3.460910057309815,0.0,-0.0,-1.3773381377403793,4.231210093052527,1.8474660043061402,-2.5671848301681317,-3.460910057309815,0.0,-0.0,-1.3773381377403793,4.231210093052527,0.6871071942124153,-1.716465998240928,-2.070445010241987,0.0,-0.0,-0.9460088742634507,2.9580742657805117,0.6871071942124153,-1.716465998240928,-2.070445010241987,0.0,-0.0,-0.9460088742634507,2.9580742657805117,0.25422203000775967,-1.4742944424206261,-1.5017021646994937,0.0,-0.0,-0.7330590265585618,2.4224382285270782,0.25422203000775967,-1.4742944424206261,-1.5017021646994937,0.0,-0.0,-0.7330590265585618,2.4224382285270782,6.118599444078959,-4.666386918992606,-5.780842193694348,0.0,-0.0,-2.55854725820183,4.190066055927737,6.118599444078959,-4.666386918992606,-5.780842193694348,0.0,-0.0,-2.55854725820183,4.190066055927737,2.6921836085924378,-3.4082508570257204,-3.905563051305969,0.0,-0.0,-2.053467453535095,4.575017958147942,2.6921836085924378,-3.4082508570257204,-3.905563051305969,0.0,-0.0,-2.053467453535095,4.575017958147942,0.4218184811312029,-1.5832756521166715,-1.7279029056355946,0.0,-0.0,-0.8205929049357429,2.442039915968543,0.4218184811312029,-1.5832756521166715,-1.7279029056355946,0.0,-0.0,-0.8205929049357429,2.442039915968543,
